Search Path:
State: [[11, 6, 5, 9], [15, 12, 1, 8], [10, 13, 4, 14], [3, 2, 7, 16]] Level: 0 F-value:(21.0, 21.0)
State: [[11, 2, 5, 9], [1, 6, 4, 8], [10, 15, 7, 12], [13, 3, 14, 16]] Level: 9 F-value:(21.0, 12.0)
State: [[11, 2, 5, 9], [1, 6, 4, 8], [10, 15, 14, 12], [13, 3, 7, 16]] Level: 8 F-value:(21.0, 13.0)
State: [[11, 2, 4, 9], [1, 6, 5, 8], [10, 15, 14, 12], [13, 3, 7, 16]] Level: 9 F-value:(21.0, 12.0)
State: [[11, 2, 9, 4], [1, 6, 5, 8], [10, 15, 14, 12], [13, 3, 7, 16]] Level: 10 F-value:(21.0, 11.0)
State: [[1, 2, 9, 4], [11, 6, 5, 8], [10, 15, 14, 12], [13, 3, 7, 16]] Level: 11 F-value:(21.0, 10.0)
State: [[1, 2, 9, 4], [11, 6, 5, 8], [10, 14, 15, 12], [13, 3, 7, 16]] Level: 12 F-value:(21.0, 9.0)
State: [[1, 2, 9, 4], [11, 6, 5, 8], [10, 14, 7, 12], [13, 3, 15, 16]] Level: 13 F-value:(21.0, 8.0)
State: [[1, 2, 9, 4], [11, 6, 5, 8], [10, 3, 15, 12], [13, 14, 7, 16]] Level: 13 F-value:(21.0, 8.0)
State: [[11, 2, 9, 4], [1, 6, 5, 8], [10, 14, 15, 12], [13, 3, 7, 16]] Level: 11 F-value:(21.0, 10.0)
State: [[11, 2, 9, 4], [1, 6, 5, 8], [10, 14, 7, 12], [13, 3, 15, 16]] Level: 12 F-value:(21.0, 9.0)
State: [[11, 2, 9, 4], [1, 6, 5, 8], [10, 3, 15, 12], [13, 14, 7, 16]] Level: 12 F-value:(21.0, 9.0)
State: [[1, 2, 4, 9], [11, 6, 5, 8], [10, 15, 14, 12], [13, 3, 7, 16]] Level: 10 F-value:(21.0, 11.0)
State: [[1, 2, 4, 9], [11, 6, 5, 8], [10, 14, 15, 12], [13, 3, 7, 16]] Level: 11 F-value:(21.0, 10.0)
State: [[1, 2, 4, 9], [11, 6, 5, 8], [10, 14, 7, 12], [13, 3, 15, 16]] Level: 12 F-value:(21.0, 9.0)
State: [[1, 2, 4, 9], [11, 6, 5, 8], [10, 3, 15, 12], [13, 14, 7, 16]] Level: 12 F-value:(21.0, 9.0)
State: [[11, 2, 4, 9], [1, 6, 5, 8], [10, 14, 15, 12], [13, 3, 7, 16]] Level: 10 F-value:(21.0, 11.0)
State: [[11, 2, 4, 9], [1, 6, 5, 8], [10, 14, 7, 12], [13, 3, 15, 16]] Level: 11 F-value:(21.0, 10.0)
State: [[11, 2, 4, 9], [1, 6, 5, 8], [10, 3, 15, 12], [13, 14, 7, 16]] Level: 11 F-value:(21.0, 10.0)
State: [[1, 2, 5, 9], [11, 6, 4, 8], [10, 15, 14, 12], [13, 3, 7, 16]] Level: 9 F-value:(21.0, 12.0)
State: [[1, 2, 5, 9], [11, 6, 4, 8], [10, 14, 15, 12], [13, 3, 7, 16]] Level: 10 F-value:(21.0, 11.0)
State: [[1, 2, 5, 9], [11, 6, 4, 8], [10, 14, 7, 12], [13, 3, 15, 16]] Level: 11 F-value:(21.0, 10.0)
State: [[1, 2, 5, 9], [11, 6, 4, 8], [10, 3, 15, 12], [13, 14, 7, 16]] Level: 11 F-value:(21.0, 10.0)
State: [[11, 2, 5, 9], [1, 6, 4, 8], [10, 14, 15, 12], [13, 3, 7, 16]] Level: 9 F-value:(21.0, 12.0)
State: [[11, 2, 5, 9], [1, 6, 4, 8], [10, 14, 7, 12], [13, 3, 15, 16]] Level: 10 F-value:(21.0, 11.0)
State: [[11, 2, 5, 9], [1, 6, 4, 8], [10, 3, 15, 12], [13, 14, 7, 16]] Level: 10 F-value:(21.0, 11.0)
State: [[11, 6, 5, 9], [1, 2, 4, 8], [10, 14, 15, 12], [13, 3, 7, 16]] Level: 8 F-value:(21.0, 13.0)
State: [[11, 6, 5, 9], [1, 2, 4, 8], [10, 14, 7, 12], [13, 3, 15, 16]] Level: 9 F-value:(21.0, 12.0)
State: [[11, 6, 4, 9], [1, 2, 5, 8], [10, 14, 7, 12], [13, 3, 15, 16]] Level: 10 F-value:(21.0, 11.0)
State: [[11, 6, 9, 4], [1, 2, 5, 8], [10, 14, 7, 12], [13, 3, 15, 16]] Level: 11 F-value:(21.0, 10.0)
State: [[1, 6, 9, 4], [11, 2, 5, 8], [10, 14, 7, 12], [13, 3, 15, 16]] Level: 12 F-value:(21.0, 9.0)
State: [[1, 6, 4, 9], [11, 2, 5, 8], [10, 14, 7, 12], [13, 3, 15, 16]] Level: 11 F-value:(21.0, 10.0)
State: [[1, 6, 5, 9], [11, 2, 4, 8], [10, 14, 7, 12], [13, 3, 15, 16]] Level: 10 F-value:(21.0, 11.0)
State: [[11, 6, 4, 9], [1, 2, 5, 8], [10, 14, 15, 12], [13, 3, 7, 16]] Level: 9 F-value:(21.0, 12.0)
State: [[11, 6, 9, 4], [1, 2, 5, 8], [10, 14, 15, 12], [13, 3, 7, 16]] Level: 10 F-value:(21.0, 11.0)
State: [[11, 6, 9, 4], [1, 2, 5, 8], [10, 3, 15, 12], [13, 14, 7, 16]] Level: 11 F-value:(21.0, 10.0)
State: [[1, 6, 9, 4], [11, 2, 5, 8], [10, 3, 15, 12], [13, 14, 7, 16]] Level: 12 F-value:(21.0, 9.0)
State: [[1, 6, 9, 4], [11, 2, 5, 8], [10, 14, 15, 12], [13, 3, 7, 16]] Level: 11 F-value:(21.0, 10.0)
State: [[11, 6, 4, 9], [1, 2, 5, 8], [10, 3, 15, 12], [13, 14, 7, 16]] Level: 10 F-value:(21.0, 11.0)
State: [[1, 6, 4, 9], [11, 2, 5, 8], [10, 3, 15, 12], [13, 14, 7, 16]] Level: 11 F-value:(21.0, 10.0)
State: [[1, 6, 4, 9], [11, 2, 5, 8], [10, 14, 15, 12], [13, 3, 7, 16]] Level: 10 F-value:(21.0, 11.0)
State: [[11, 6, 5, 9], [1, 2, 4, 8], [10, 3, 15, 12], [13, 14, 7, 16]] Level: 9 F-value:(21.0, 12.0)
State: [[1, 6, 5, 9], [11, 2, 4, 8], [10, 3, 15, 12], [13, 14, 7, 16]] Level: 10 F-value:(21.0, 11.0)
State: [[1, 6, 5, 9], [11, 2, 4, 8], [10, 14, 15, 12], [13, 3, 7, 16]] Level: 9 F-value:(21.0, 12.0)
State: [[11, 6, 4, 9], [1, 2, 5, 8], [10, 15, 14, 12], [13, 3, 7, 16]] Level: 8 F-value:(21.0, 13.0)
State: [[11, 6, 9, 4], [1, 2, 5, 8], [10, 15, 14, 12], [13, 3, 7, 16]] Level: 9 F-value:(21.0, 12.0)
State: [[1, 6, 9, 4], [11, 2, 5, 8], [10, 15, 14, 12], [13, 3, 7, 16]] Level: 10 F-value:(21.0, 11.0)
State: [[1, 6, 4, 9], [11, 2, 5, 8], [10, 15, 14, 12], [13, 3, 7, 16]] Level: 9 F-value:(21.0, 12.0)
State: [[1, 6, 5, 9], [11, 2, 4, 8], [10, 15, 14, 12], [13, 3, 7, 16]] Level: 8 F-value:(21.0, 13.0)
State: [[1, 6, 5, 9], [11, 2, 4, 8], [10, 15, 12, 14], [13, 3, 7, 16]] Level: 7 F-value:(21.0, 14.0)
State: [[1, 6, 4, 9], [11, 2, 5, 8], [10, 15, 12, 14], [13, 3, 7, 16]] Level: 8 F-value:(21.0, 13.0)
State: [[1, 6, 9, 4], [11, 2, 5, 8], [10, 15, 12, 14], [13, 3, 7, 16]] Level: 9 F-value:(21.0, 12.0)
State: [[1, 2, 9, 4], [11, 6, 5, 8], [10, 15, 12, 14], [13, 3, 7, 16]] Level: 10 F-value:(21.0, 11.0)
State: [[1, 2, 4, 9], [11, 6, 5, 8], [10, 15, 12, 14], [13, 3, 7, 16]] Level: 9 F-value:(21.0, 12.0)
State: [[1, 2, 5, 9], [11, 6, 4, 8], [10, 15, 12, 14], [13, 3, 7, 16]] Level: 8 F-value:(21.0, 13.0)
State: [[11, 6, 4, 9], [1, 2, 5, 8], [10, 15, 12, 14], [13, 3, 7, 16]] Level: 7 F-value:(21.0, 14.0)
State: [[11, 6, 9, 4], [1, 2, 5, 8], [10, 15, 12, 14], [13, 3, 7, 16]] Level: 8 F-value:(21.0, 13.0)
State: [[11, 2, 9, 4], [1, 6, 5, 8], [10, 15, 12, 14], [13, 3, 7, 16]] Level: 9 F-value:(21.0, 12.0)
State: [[11, 2, 4, 9], [1, 6, 5, 8], [10, 15, 12, 14], [13, 3, 7, 16]] Level: 8 F-value:(21.0, 13.0)
State: [[11, 2, 5, 9], [1, 6, 4, 8], [10, 15, 12, 14], [13, 3, 7, 16]] Level: 7 F-value:(21.0, 14.0)
State: [[1, 6, 5, 9], [11, 2, 12, 8], [10, 15, 4, 14], [13, 3, 7, 16]] Level: 6 F-value:(21.0, 15.0)
State: [[1, 2, 5, 9], [11, 6, 12, 8], [10, 15, 4, 14], [13, 3, 7, 16]] Level: 7 F-value:(21.0, 14.0)
State: [[11, 2, 5, 9], [1, 6, 12, 8], [10, 15, 4, 14], [13, 3, 7, 16]] Level: 6 F-value:(21.0, 15.0)
State: [[1, 6, 5, 9], [11, 15, 12, 8], [10, 2, 4, 14], [13, 3, 7, 16]] Level: 5 F-value:(21.0, 16.0)
State: [[1, 6, 5, 9], [11, 15, 4, 8], [10, 2, 12, 14], [13, 3, 7, 16]] Level: 6 F-value:(21.0, 15.0)
State: [[1, 6, 5, 9], [11, 15, 4, 8], [10, 2, 14, 12], [13, 3, 7, 16]] Level: 7 F-value:(21.0, 14.0)
State: [[1, 6, 5, 9], [11, 15, 4, 8], [10, 2, 7, 12], [13, 3, 14, 16]] Level: 8 F-value:(21.0, 13.0)
State: [[1, 6, 4, 9], [11, 15, 5, 8], [10, 2, 7, 12], [13, 3, 14, 16]] Level: 9 F-value:(21.0, 12.0)
State: [[1, 6, 9, 4], [11, 15, 5, 8], [10, 2, 7, 12], [13, 3, 14, 16]] Level: 10 F-value:(21.0, 11.0)
State: [[1, 6, 9, 4], [11, 15, 5, 8], [10, 2, 7, 12], [13, 14, 3, 16]] Level: 11 F-value:(21.0, 10.0)
State: [[1, 6, 9, 4], [11, 5, 15, 8], [10, 2, 7, 12], [13, 14, 3, 16]] Level: 12 F-value:(21.0, 9.0)
State: [[1, 6, 9, 4], [5, 11, 15, 8], [10, 2, 7, 12], [13, 14, 3, 16]] Level: 13 F-value:(21.0, 8.0)
State: [[1, 6, 9, 4], [5, 2, 15, 8], [10, 11, 7, 12], [13, 14, 3, 16]] Level: 14 F-value:(21.0, 7.0)
State: [[1, 2, 9, 4], [5, 6, 15, 8], [10, 11, 7, 12], [13, 14, 3, 16]] Level: 15 F-value:(21.0, 6.0)
State: [[1, 2, 9, 4], [5, 6, 7, 8], [10, 11, 15, 12], [13, 14, 3, 16]] Level: 16 F-value:(21.0, 5.0)
State: [[1, 2, 9, 4], [5, 6, 7, 8], [10, 11, 3, 12], [13, 14, 15, 16]] Level: 17 F-value:(21.0, 4.0)
State: [[1, 6, 9, 4], [5, 2, 7, 8], [10, 11, 15, 12], [13, 14, 3, 16]] Level: 15 F-value:(21.0, 6.0)
State: [[1, 6, 9, 4], [5, 2, 7, 8], [10, 11, 3, 12], [13, 14, 15, 16]] Level: 16 F-value:(21.0, 5.0)
State: [[1, 6, 9, 4], [5, 11, 7, 8], [10, 2, 15, 12], [13, 14, 3, 16]] Level: 14 F-value:(21.0, 7.0)
State: [[1, 6, 9, 4], [5, 11, 7, 8], [10, 2, 3, 12], [13, 14, 15, 16]] Level: 15 F-value:(21.0, 6.0)
State: [[1, 6, 9, 4], [11, 5, 7, 8], [10, 2, 15, 12], [13, 14, 3, 16]] Level: 13 F-value:(21.0, 8.0)
State: [[1, 6, 9, 4], [11, 5, 7, 8], [10, 2, 3, 12], [13, 14, 15, 16]] Level: 14 F-value:(21.0, 7.0)
State: [[1, 6, 9, 4], [11, 5, 15, 8], [10, 2, 7, 12], [13, 3, 14, 16]] Level: 11 F-value:(21.0, 10.0)
State: [[1, 6, 9, 4], [11, 5, 7, 8], [10, 2, 15, 12], [13, 3, 14, 16]] Level: 12 F-value:(21.0, 9.0)
State: [[1, 6, 9, 4], [5, 11, 7, 8], [10, 2, 15, 12], [13, 3, 14, 16]] Level: 13 F-value:(21.0, 8.0)
State: [[1, 6, 9, 4], [5, 2, 7, 8], [10, 11, 15, 12], [13, 3, 14, 16]] Level: 14 F-value:(21.0, 7.0)
State: [[1, 2, 9, 4], [5, 6, 7, 8], [10, 11, 15, 12], [13, 3, 14, 16]] Level: 15 F-value:(21.0, 6.0)
State: [[1, 6, 9, 4], [5, 11, 15, 8], [10, 2, 7, 12], [13, 3, 14, 16]] Level: 12 F-value:(21.0, 9.0)
State: [[1, 6, 9, 4], [5, 2, 15, 8], [10, 11, 7, 12], [13, 3, 14, 16]] Level: 13 F-value:(21.0, 8.0)
State: [[1, 2, 9, 4], [5, 6, 15, 8], [10, 11, 7, 12], [13, 3, 14, 16]] Level: 14 F-value:(21.0, 7.0)
State: [[1, 6, 4, 9], [11, 5, 15, 8], [10, 2, 7, 12], [13, 3, 14, 16]] Level: 10 F-value:(21.0, 11.0)
State: [[1, 6, 4, 9], [11, 5, 7, 8], [10, 2, 15, 12], [13, 3, 14, 16]] Level: 11 F-value:(21.0, 10.0)
State: [[1, 6, 4, 9], [5, 11, 7, 8], [10, 2, 15, 12], [13, 3, 14, 16]] Level: 12 F-value:(21.0, 9.0)
State: [[1, 6, 4, 9], [5, 11, 7, 8], [10, 2, 15, 12], [13, 14, 3, 16]] Level: 13 F-value:(21.0, 8.0)
State: [[1, 6, 4, 9], [5, 11, 7, 8], [10, 2, 3, 12], [13, 14, 15, 16]] Level: 14 F-value:(21.0, 7.0)
State: [[1, 6, 4, 9], [5, 2, 7, 8], [10, 11, 3, 12], [13, 14, 15, 16]] Level: 15 F-value:(21.0, 6.0)
State: [[1, 2, 4, 9], [5, 6, 7, 8], [10, 11, 3, 12], [13, 14, 15, 16]] Level: 16 F-value:(21.0, 5.0)
State: [[1, 6, 4, 9], [5, 2, 7, 8], [10, 11, 15, 12], [13, 14, 3, 16]] Level: 14 F-value:(21.0, 7.0)
State: [[1, 2, 4, 9], [5, 6, 7, 8], [10, 11, 15, 12], [13, 14, 3, 16]] Level: 15 F-value:(21.0, 6.0)
State: [[1, 6, 4, 9], [5, 2, 7, 8], [10, 11, 15, 12], [13, 3, 14, 16]] Level: 13 F-value:(21.0, 8.0)
State: [[1, 2, 4, 9], [5, 6, 7, 8], [10, 11, 15, 12], [13, 3, 14, 16]] Level: 14 F-value:(21.0, 7.0)
State: [[1, 6, 4, 9], [11, 5, 7, 8], [10, 2, 15, 12], [13, 14, 3, 16]] Level: 12 F-value:(21.0, 9.0)
State: [[1, 6, 4, 9], [11, 5, 7, 8], [10, 2, 3, 12], [13, 14, 15, 16]] Level: 13 F-value:(21.0, 8.0)
State: [[1, 6, 4, 9], [5, 11, 15, 8], [10, 2, 7, 12], [13, 3, 14, 16]] Level: 11 F-value:(21.0, 10.0)
State: [[1, 6, 4, 9], [5, 11, 15, 8], [10, 2, 7, 12], [13, 14, 3, 16]] Level: 12 F-value:(21.0, 9.0)
State: [[1, 6, 4, 9], [5, 2, 15, 8], [10, 11, 7, 12], [13, 14, 3, 16]] Level: 13 F-value:(21.0, 8.0)
State: [[1, 2, 4, 9], [5, 6, 15, 8], [10, 11, 7, 12], [13, 14, 3, 16]] Level: 14 F-value:(21.0, 7.0)
State: [[1, 6, 4, 9], [5, 2, 15, 8], [10, 11, 7, 12], [13, 3, 14, 16]] Level: 12 F-value:(21.0, 9.0)
State: [[1, 2, 4, 9], [5, 6, 15, 8], [10, 11, 7, 12], [13, 3, 14, 16]] Level: 13 F-value:(21.0, 8.0)
State: [[1, 6, 4, 9], [11, 5, 15, 8], [10, 2, 7, 12], [13, 14, 3, 16]] Level: 11 F-value:(21.0, 10.0)
State: [[1, 6, 4, 9], [11, 15, 5, 8], [10, 2, 7, 12], [13, 14, 3, 16]] Level: 10 F-value:(21.0, 11.0)
State: [[1, 6, 5, 9], [11, 15, 4, 8], [10, 2, 7, 12], [13, 14, 3, 16]] Level: 9 F-value:(21.0, 12.0)
State: [[1, 6, 4, 9], [11, 15, 5, 8], [10, 2, 14, 12], [13, 3, 7, 16]] Level: 8 F-value:(21.0, 13.0)
State: [[1, 6, 4, 9], [11, 5, 15, 8], [10, 2, 14, 12], [13, 3, 7, 16]] Level: 9 F-value:(21.0, 12.0)
State: [[1, 6, 4, 9], [5, 11, 15, 8], [10, 2, 14, 12], [13, 3, 7, 16]] Level: 10 F-value:(21.0, 11.0)
State: [[1, 6, 9, 4], [5, 11, 15, 8], [10, 2, 14, 12], [13, 3, 7, 16]] Level: 11 F-value:(21.0, 10.0)
State: [[1, 6, 9, 4], [5, 2, 15, 8], [10, 11, 14, 12], [13, 3, 7, 16]] Level: 12 F-value:(21.0, 9.0)
State: [[1, 2, 9, 4], [5, 6, 15, 8], [10, 11, 14, 12], [13, 3, 7, 16]] Level: 13 F-value:(21.0, 8.0)
State: [[1, 2, 9, 4], [5, 6, 15, 8], [10, 14, 11, 12], [13, 3, 7, 16]] Level: 14 F-value:(21.0, 7.0)
State: [[1, 2, 9, 4], [5, 6, 15, 8], [10, 3, 11, 12], [13, 14, 7, 16]] Level: 15 F-value:(21.0, 6.0)
State: [[1, 6, 9, 4], [5, 2, 15, 8], [10, 14, 11, 12], [13, 3, 7, 16]] Level: 13 F-value:(21.0, 8.0)
State: [[1, 6, 9, 4], [5, 2, 15, 8], [10, 3, 11, 12], [13, 14, 7, 16]] Level: 14 F-value:(21.0, 7.0)
State: [[1, 6, 4, 9], [5, 2, 15, 8], [10, 11, 14, 12], [13, 3, 7, 16]] Level: 11 F-value:(21.0, 10.0)
State: [[1, 6, 4, 9], [5, 2, 15, 8], [10, 14, 11, 12], [13, 3, 7, 16]] Level: 12 F-value:(21.0, 9.0)
State: [[1, 6, 4, 9], [5, 2, 15, 8], [10, 3, 11, 12], [13, 14, 7, 16]] Level: 13 F-value:(21.0, 8.0)
State: [[1, 2, 4, 9], [5, 6, 15, 8], [10, 3, 11, 12], [13, 14, 7, 16]] Level: 14 F-value:(21.0, 7.0)
State: [[1, 2, 4, 9], [5, 6, 15, 8], [10, 14, 11, 12], [13, 3, 7, 16]] Level: 13 F-value:(21.0, 8.0)
State: [[1, 2, 4, 9], [5, 6, 15, 8], [10, 11, 14, 12], [13, 3, 7, 16]] Level: 12 F-value:(21.0, 9.0)
State: [[1, 6, 9, 4], [11, 5, 15, 8], [10, 2, 14, 12], [13, 3, 7, 16]] Level: 10 F-value:(21.0, 11.0)
State: [[1, 6, 9, 4], [11, 15, 5, 8], [10, 2, 14, 12], [13, 3, 7, 16]] Level: 9 F-value:(21.0, 12.0)
State: [[1, 6, 4, 9], [11, 15, 5, 8], [10, 2, 12, 14], [13, 3, 7, 16]] Level: 7 F-value:(21.0, 14.0)
State: [[1, 6, 4, 9], [11, 5, 15, 8], [10, 2, 12, 14], [13, 3, 7, 16]] Level: 8 F-value:(21.0, 13.0)
State: [[1, 6, 4, 9], [5, 11, 15, 8], [10, 2, 12, 14], [13, 3, 7, 16]] Level: 9 F-value:(21.0, 12.0)
State: [[1, 6, 9, 4], [5, 11, 15, 8], [10, 2, 12, 14], [13, 3, 7, 16]] Level: 10 F-value:(21.0, 11.0)
State: [[1, 6, 9, 4], [5, 2, 15, 8], [10, 11, 12, 14], [13, 3, 7, 16]] Level: 11 F-value:(21.0, 10.0)
State: [[1, 2, 9, 4], [5, 6, 15, 8], [10, 11, 12, 14], [13, 3, 7, 16]] Level: 12 F-value:(21.0, 9.0)
State: [[1, 6, 4, 9], [5, 2, 15, 8], [10, 11, 12, 14], [13, 3, 7, 16]] Level: 10 F-value:(21.0, 11.0)
State: [[1, 2, 4, 9], [5, 6, 15, 8], [10, 11, 12, 14], [13, 3, 7, 16]] Level: 11 F-value:(21.0, 10.0)
State: [[1, 6, 9, 4], [11, 5, 15, 8], [10, 2, 12, 14], [13, 3, 7, 16]] Level: 9 F-value:(21.0, 12.0)
State: [[1, 6, 9, 4], [11, 15, 5, 8], [10, 2, 12, 14], [13, 3, 7, 16]] Level: 8 F-value:(21.0, 13.0)
State: [[11, 6, 5, 9], [1, 15, 4, 8], [10, 2, 12, 14], [13, 3, 7, 16]] Level: 5 F-value:(21.0, 16.0)
State: [[11, 6, 5, 9], [1, 15, 4, 8], [10, 2, 14, 12], [13, 3, 7, 16]] Level: 6 F-value:(21.0, 15.0)
State: [[11, 6, 5, 9], [1, 15, 4, 8], [10, 2, 7, 12], [13, 3, 14, 16]] Level: 7 F-value:(21.0, 14.0)
State: [[11, 6, 4, 9], [1, 15, 5, 8], [10, 2, 7, 12], [13, 3, 14, 16]] Level: 8 F-value:(21.0, 13.0)
State: [[11, 6, 4, 9], [1, 5, 15, 8], [10, 2, 7, 12], [13, 3, 14, 16]] Level: 9 F-value:(21.0, 12.0)
State: [[11, 6, 4, 9], [1, 5, 7, 8], [10, 2, 15, 12], [13, 3, 14, 16]] Level: 10 F-value:(21.0, 11.0)
State: [[11, 6, 9, 4], [1, 5, 7, 8], [10, 2, 15, 12], [13, 3, 14, 16]] Level: 11 F-value:(21.0, 10.0)
State: [[11, 6, 9, 4], [1, 5, 7, 8], [10, 2, 15, 12], [13, 14, 3, 16]] Level: 12 F-value:(21.0, 9.0)
State: [[11, 6, 9, 4], [1, 5, 7, 8], [10, 2, 3, 12], [13, 14, 15, 16]] Level: 13 F-value:(21.0, 8.0)
State: [[11, 6, 4, 9], [1, 5, 7, 8], [10, 2, 15, 12], [13, 14, 3, 16]] Level: 11 F-value:(21.0, 10.0)
State: [[11, 6, 4, 9], [1, 5, 7, 8], [10, 2, 3, 12], [13, 14, 15, 16]] Level: 12 F-value:(21.0, 9.0)
State: [[11, 6, 9, 4], [1, 5, 15, 8], [10, 2, 7, 12], [13, 3, 14, 16]] Level: 10 F-value:(21.0, 11.0)
State: [[11, 6, 9, 4], [1, 5, 15, 8], [10, 2, 7, 12], [13, 14, 3, 16]] Level: 11 F-value:(21.0, 10.0)
State: [[11, 6, 4, 9], [1, 5, 15, 8], [10, 2, 7, 12], [13, 14, 3, 16]] Level: 10 F-value:(21.0, 11.0)
State: [[11, 6, 9, 4], [1, 15, 5, 8], [10, 2, 7, 12], [13, 3, 14, 16]] Level: 9 F-value:(21.0, 12.0)
State: [[11, 6, 9, 4], [1, 15, 5, 8], [10, 2, 7, 12], [13, 14, 3, 16]] Level: 10 F-value:(21.0, 11.0)
State: [[11, 6, 4, 9], [1, 15, 5, 8], [10, 2, 7, 12], [13, 14, 3, 16]] Level: 9 F-value:(21.0, 12.0)
State: [[11, 6, 5, 9], [1, 15, 4, 8], [10, 2, 7, 12], [13, 14, 3, 16]] Level: 8 F-value:(21.0, 13.0)
State: [[11, 6, 4, 9], [1, 15, 5, 8], [10, 2, 14, 12], [13, 3, 7, 16]] Level: 7 F-value:(21.0, 14.0)
State: [[11, 6, 4, 9], [1, 5, 15, 8], [10, 2, 14, 12], [13, 3, 7, 16]] Level: 8 F-value:(21.0, 13.0)
State: [[11, 6, 9, 4], [1, 5, 15, 8], [10, 2, 14, 12], [13, 3, 7, 16]] Level: 9 F-value:(21.0, 12.0)
State: [[11, 6, 9, 4], [1, 15, 5, 8], [10, 2, 14, 12], [13, 3, 7, 16]] Level: 8 F-value:(21.0, 13.0)
State: [[11, 6, 4, 9], [1, 15, 5, 8], [10, 2, 12, 14], [13, 3, 7, 16]] Level: 6 F-value:(21.0, 15.0)
State: [[11, 6, 4, 9], [1, 5, 15, 8], [10, 2, 12, 14], [13, 3, 7, 16]] Level: 7 F-value:(21.0, 14.0)
State: [[11, 6, 9, 4], [1, 5, 15, 8], [10, 2, 12, 14], [13, 3, 7, 16]] Level: 8 F-value:(21.0, 13.0)
State: [[11, 6, 9, 4], [1, 15, 5, 8], [10, 2, 12, 14], [13, 3, 7, 16]] Level: 7 F-value:(21.0, 14.0)
State: [[11, 6, 5, 9], [1, 2, 12, 8], [10, 15, 4, 14], [3, 13, 7, 16]] Level: 4 F-value:(21.0, 17.0)
State: [[1, 6, 5, 9], [11, 2, 12, 8], [10, 15, 4, 14], [3, 13, 7, 16]] Level: 5 F-value:(21.0, 16.0)
State: [[1, 6, 5, 9], [11, 2, 4, 8], [10, 15, 12, 14], [3, 13, 7, 16]] Level: 6 F-value:(21.0, 15.0)
State: [[1, 6, 5, 9], [11, 2, 4, 8], [10, 15, 14, 12], [3, 13, 7, 16]] Level: 7 F-value:(21.0, 14.0)
State: [[1, 6, 5, 9], [11, 2, 4, 8], [10, 14, 15, 12], [3, 13, 7, 16]] Level: 8 F-value:(21.0, 13.0)
State: [[1, 6, 5, 9], [11, 2, 4, 8], [10, 14, 7, 12], [3, 13, 15, 16]] Level: 9 F-value:(21.0, 12.0)
State: [[1, 6, 4, 9], [11, 2, 5, 8], [10, 14, 7, 12], [3, 13, 15, 16]] Level: 10 F-value:(21.0, 11.0)
State: [[1, 6, 9, 4], [11, 2, 5, 8], [10, 14, 7, 12], [3, 13, 15, 16]] Level: 11 F-value:(21.0, 10.0)
State: [[1, 2, 9, 4], [11, 6, 5, 8], [10, 14, 7, 12], [3, 13, 15, 16]] Level: 12 F-value:(21.0, 9.0)
State: [[1, 2, 4, 9], [11, 6, 5, 8], [10, 14, 7, 12], [3, 13, 15, 16]] Level: 11 F-value:(21.0, 10.0)
State: [[1, 2, 5, 9], [11, 6, 4, 8], [10, 14, 7, 12], [3, 13, 15, 16]] Level: 10 F-value:(21.0, 11.0)
State: [[1, 6, 4, 9], [11, 2, 5, 8], [10, 14, 15, 12], [3, 13, 7, 16]] Level: 9 F-value:(21.0, 12.0)
State: [[1, 6, 9, 4], [11, 2, 5, 8], [10, 14, 15, 12], [3, 13, 7, 16]] Level: 10 F-value:(21.0, 11.0)
State: [[1, 2, 9, 4], [11, 6, 5, 8], [10, 14, 15, 12], [3, 13, 7, 16]] Level: 11 F-value:(21.0, 10.0)
State: [[1, 2, 4, 9], [11, 6, 5, 8], [10, 14, 15, 12], [3, 13, 7, 16]] Level: 10 F-value:(21.0, 11.0)
State: [[1, 2, 5, 9], [11, 6, 4, 8], [10, 14, 15, 12], [3, 13, 7, 16]] Level: 9 F-value:(21.0, 12.0)
State: [[1, 2, 5, 9], [11, 6, 4, 8], [10, 15, 14, 12], [3, 13, 7, 16]] Level: 8 F-value:(21.0, 13.0)
State: [[1, 2, 5, 9], [11, 6, 4, 8], [10, 15, 7, 12], [3, 13, 14, 16]] Level: 9 F-value:(21.0, 12.0)
State: [[1, 2, 4, 9], [11, 6, 5, 8], [10, 15, 7, 12], [3, 13, 14, 16]] Level: 10 F-value:(21.0, 11.0)
State: [[1, 2, 9, 4], [11, 6, 5, 8], [10, 15, 7, 12], [3, 13, 14, 16]] Level: 11 F-value:(21.0, 10.0)
State: [[1, 2, 4, 9], [11, 6, 5, 8], [10, 15, 14, 12], [3, 13, 7, 16]] Level: 9 F-value:(21.0, 12.0)
State: [[1, 2, 9, 4], [11, 6, 5, 8], [10, 15, 14, 12], [3, 13, 7, 16]] Level: 10 F-value:(21.0, 11.0)
State: [[1, 6, 5, 9], [11, 2, 4, 8], [10, 15, 7, 12], [3, 13, 14, 16]] Level: 8 F-value:(21.0, 13.0)
State: [[1, 6, 4, 9], [11, 2, 5, 8], [10, 15, 7, 12], [3, 13, 14, 16]] Level: 9 F-value:(21.0, 12.0)
State: [[1, 6, 9, 4], [11, 2, 5, 8], [10, 15, 7, 12], [3, 13, 14, 16]] Level: 10 F-value:(21.0, 11.0)
